"A customer with the same email already exists in an associated website.","Постои веќе корисник со внесениот e-mail."
"About us (Magento CMS)","За нас"
"About us","За нас"
"Add a discount code","Додадете код за попуст"
"Add discount code","Додадете код за попуст"
"Add to cart","Во кошничка"
"Add to compare","Додадете во споредба"
"Add to favorite","Додадете во омилени"
"Amount","Износ"
"Allow notification about the order","Дозволете нотификации за нарачката"
"Are you sure you would like to remove all the items from the shopping cart?","Дали сигурно сакате да ја испразните кошничката?"
"Are you sure you would like to remove all the items from the wishlist?","Дали сигурно сакате да ја испразните листата за посакувани производи?"
"Author","Автор"
"Authorization in progress ...","Авторизација е во тек ..."
"Back to login","Назад кон најава"
"Back","Назад"
"Billing address","Адреса на испорака"
"Cancel","Откажи"
"Cash on delivery","Наплата при испорака"
"Categories","Категории"
"Change my password","Промени лозинка"
"Changed your mind?","Дали го сменивте мислењето?"
"Choose your country","Одберете држава"
"City *","Град *"
"City","Град"
"Clear all","Исчисти сè"
"Clear cart","Исчисти кошничка"
"Clear filters","Тргни филтери"
"Clear wishlist","Исчисти листа за посакувани производи"
"Clear","Исчисти"
"Close","Затвори"
"Cms Page Sync","Cms Page Sync"
"Colour","Боја"
"Columns","Колони"
"Company name *","Име на компанија *"
"Company name","Име на компанија"
"Compare products","Спореди производи"
"Confirm your order","Потврди нарачка"
"Contact us","Контактирајте нè"
"Continue to payment","Кон наплата"
"Continue to shipping","Кон испорака"
"Copy address data from shipping","Копирај адресни податоци од испорака"
"Country *","Држава *"
"Country","Држава"
"Create a new account","Создадете нов профил"
"Current password *","Постоечка лозинка *"
"Custom Cms Page","Custom Cms Page"
"Customer service (Magento CMS)","Customer service (Magento CMS)"
"Customer service","Customer service"
"DPD Courier","DPD Courier"
"Date and time","Дата и време"
"Delivery","Испорака"
"Departments","Подружници"
"Description","Опис"
"Discount code","Код за попуст"
"Discount","Попуст"
"Don't hesitate and","Не се двоумете и"
"Done","Готово"
"E-mail address *","E-mail адреса *"
"E-mail us at <b>demo@vuestorefront.io</b> with any questions, suggestions how we could improve products or shopping experience","Пратете e-mail на адресата <b>demo@vuestorefront.io</b> за било какви прашања или предлози за подобрување на производите и целокупното искуство"
"Earn credits with every purchase","Освојувајте кредити со секој купен производ"
"Easy shipping","Едноставна испорака"
"Edit newsletter preferences","Уреди нагодувања за пошта"
"Edit payment","Уреди наплата"
"Edit personal details","Уреди лични податоци"
"Edit shipping","Уреди испорака"
"Edit your profile","Уреди профил"
"Edit your shipping details","Уреди детали за испорака"
"Edit","Уреди"
"Email address *","Email адреса *"
"Email address","Email адреса"
"English","English"
"Enjoy these perks with your free account!","Уживајте со функциите на вашиот бесплатен акаунт!"
"Enter your email to receive instructions on how to reset your password.","Внесете го вашиот email за инструкции за да ја промените вашата лозинка."
"Erin recommends","Препорака"
"Error while sending reset password e-mail","Грешка при праќање email за промена на лозинка"
"Everything new","НОВО"
"Extension developers would like to thank you for placing an order!","Ви благодариме за нарачката!"
"Faster checkout","Брза нарачака"
"Field is required","Полето е задолжително"
"Filter by categories","Филтрирај според категории"
"Filter","Филтрирај"
"Filters","Филтри"
"First name *","Име *"
"First name","Име"
"Forgot the password?","Заборавивте лозинка?"
"Full rewards program benefits","Придобивки од програма за награди"
